Area,Line,Date,TrapName,TrapChecked,Triggered,Set,Species,Sex,Age,PestID,Bait,Comments,SampleID,SampleCondition,Latitude,Longitude,TrapType,TimeTaken,Username,FirstName
Mataia,Back Block,11-9-2014,ST217,Y,N,Y,,,,,Meat& Egg,,,,-36.474331,174.426338,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST218,Y,N,Y,,,,,Meat& Egg,,,,-36.473336,174.425971,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST219,Y,N,Y,,,,,Meat& Egg,,,,-36.473254,174.427292,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST220,Y,Y,Y,Weasel,,,PestID: 955,Meat& Egg,,,,-36.473017,174.42888,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST221,Y,N,Y,,,,,Meat& Egg,,,,-36.472832,174.430282,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST222,Y,N,Y,,,,,Meat& Egg,,,,-36.472586,174.431391,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST223,Y,N,Y,,,,,Meat& Egg,,,,-36.472882,174.432303,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST224,Y,Y,Y,Mouse,,,PestID: 956,Meat& Egg,,,,-36.473898,174.433289,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST225,Y,N,Y,,,,,Meat& Egg,,,,-36.474421,174.434447,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST226,Y,N,Y,,,,,Meat& Egg,,,,-36.474948,174.43551,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST227,Y,N,Y,,,,,Meat& Egg,,,,-36.475499,174.436477,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST228,Y,N,Y,,,,,Meat& Egg,,,,-36.476009,174.436655,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,11-9-2014,ST229,Y,N,Y,,,,,Meat& Egg,,,,-36.479634,174.436412,DOC200,Unspecified,kgadshead,Kevin & Gill
Mataia,Back Block,16-10-2014,ST200,Y,N,Y,,,,,Meat& Egg,,,,-36.488724,174.421973,DOC200,Unspecified,kgadshead,Kevin & Gill
